user_id,interests,activity_level
user_1,['social media'],medium
user_2,"['python', 'health', 'investing']",high
user_3,"['javascript', 'social media', 'investing', 'marketing', 'programming']",high
user_4,"['travel', 'ai', 'fitness', 'web development', 'investing']",low
user_5,['fitness'],low
user_6,['programming'],low
user_7,"['machine learning', 'javascript', 'python', 'art', 'photography']",high
user_8,"['investing', 'javascript']",low
user_9,"['travel', 'fitness']",high
user_10,"['design', 'food', 'machine learning', 'marketing']",medium
user_11,"['web development', 'fitness', 'finance']",high
user_12,"['technology', 'ai', 'python']",medium
user_13,"['health', 'art']",medium
user_14,"['fitness', 'finance', 'investing', 'startups']",low
user_15,"['web development', 'technology']",low
user_16,['finance'],low
user_17,"['machine learning', 'javascript']",high
user_18,['machine learning'],low
user_19,"['web development', 'health', 'startups', 'machine learning']",low
user_20,"['food', 'programming', 'finance']",medium
user_21,"['ai', 'finance']",low
user_22,"['machine learning', 'python', 'health']",low
user_23,"['fitness', 'health', 'investing', 'machine learning']",high
user_24,"['fitness', 'photography']",low
user_25,"['health', 'social media', 'web development', 'technology', 'ai']",high
user_26,['investing'],low
user_27,['web development'],high
user_28,"['python', 'programming', 'investing', 'data science', 'marketing']",high
user_29,['fitness'],medium
user_30,"['food', 'web development']",high
user_31,['startups'],low
user_32,['javascript'],high
user_33,"['investing', 'python', 'ai']",low
user_34,['design'],high
user_35,"['photography', 'health', 'marketing', 'startups', 'finance']",medium
user_36,"['business', 'investing', 'marketing', 'machine learning']",medium
user_37,"['health', 'machine learning']",low
user_38,"['data science', 'javascript', 'design', 'marketing', 'food']",high
user_39,"['health', 'javascript', 'data science', 'python', 'business']",medium
user_40,"['investing', 'ai', 'technology']",high
user_41,['programming'],high
user_42,['technology'],low
user_43,"['javascript', 'social media', 'marketing', 'design']",high
user_44,"['social media', 'programming', 'technology', 'fitness', 'food']",high
user_45,['food'],low
user_46,"['marketing', 'social media', 'machine learning', 'travel', 'python']",medium
user_47,"['data science', 'travel', 'food', 'finance', 'ai']",high
user_48,['fitness'],medium
user_49,"['investing', 'travel', 'data science', 'programming', 'design']",medium
user_50,"['design', 'social media', 'fitness']",high
user_51,"['health', 'business', 'web development', 'data science', 'ai']",low
user_52,"['travel', 'business', 'web development']",low
user_53,['design'],high
user_54,['startups'],medium
user_55,"['photography', 'startups', 'python']",low
user_56,"['web development', 'finance', 'machine learning', 'health']",high
user_57,['finance'],low
user_58,"['food', 'technology', 'fitness', 'social media']",low
user_59,['business'],medium
user_60,"['programming', 'photography']",medium
user_61,"['technology', 'fitness', 'food']",medium
user_62,['health'],low
user_63,"['technology', 'photography', 'design', 'programming', 'data science']",high
user_64,['fitness'],high
user_65,"['machine learning', 'social media', 'python', 'photography']",low
user_66,['food'],low
user_67,['travel'],low
user_68,"['business', 'ai', 'fitness']",high
user_69,"['technology', 'social media', 'ai', 'python', 'marketing']",medium
user_70,"['business', 'web development', 'javascript']",low
user_71,"['programming', 'data science']",medium
user_72,['investing'],low
user_73,"['photography', 'data science']",medium
user_74,"['web development', 'ai']",high
user_75,['python'],high
user_76,"['travel', 'design']",low
user_77,"['art', 'technology']",low
user_78,"['javascript', 'marketing', 'design', 'health']",medium
user_79,"['design', 'machine learning']",high
user_80,"['health', 'technology']",medium
user_81,"['finance', 'travel', 'marketing', 'programming']",low
user_82,['machine learning'],low
user_83,['data science'],low
user_84,"['photography', 'art']",high
user_85,"['technology', 'python', 'marketing']",medium
user_86,['business'],high
user_87,"['finance', 'travel', 'startups']",medium
user_88,"['startups', 'art', 'food', 'javascript']",medium
user_89,"['food', 'business', 'ai']",high
user_90,"['health', 'food']",high
user_91,"['art', 'web development', 'python']",medium
user_92,['business'],high
user_93,"['finance', 'python', 'social media', 'art', 'technology']",medium
user_94,"['food', 'startups']",high
user_95,"['web development', 'finance', 'ai', 'marketing', 'health']",low
user_96,"['python', 'art', 'design']",low
user_97,"['javascript', 'marketing', 'photography', 'programming', 'business']",medium
user_98,"['health', 'finance', 'investing', 'fitness']",medium
user_99,"['startups', 'investing', 'health']",medium
user_100,['social media'],high
user_101,"['investing', 'food', 'art', 'fitness']",low
user_102,"['machine learning', 'business', 'data science', 'marketing', 'health']",low
user_103,"['art', 'technology', 'marketing']",high
user_104,['technology'],medium
user_105,"['business', 'machine learning']",high
user_106,"['data science', 'social media', 'marketing']",medium
user_107,['startups'],low
user_108,"['art', 'social media', 'marketing']",high
user_109,"['investing', 'ai']",high
user_110,"['javascript', 'design', 'data science', 'ai']",high
user_111,"['fitness', 'travel', 'finance', 'startups', 'python']",high
user_112,"['health', 'technology', 'investing', 'fitness', 'marketing']",medium
user_113,['technology'],low
user_114,"['marketing', 'machine learning']",high
user_115,"['data science', 'photography']",high
user_116,['technology'],low
user_117,"['programming', 'business']",high
user_118,"['machine learning', 'finance', 'javascript', 'travel']",low
user_119,['business'],medium
user_120,"['marketing', 'fitness']",low
user_121,['health'],low
user_122,"['social media', 'art']",medium
user_123,"['web development', 'marketing']",medium
user_124,['food'],low
user_125,['fitness'],medium
user_126,"['python', 'startups', 'social media', 'art', 'javascript']",medium
user_127,"['photography', 'fitness', 'investing']",low
user_128,"['machine learning', 'data science']",high
user_129,"['javascript', 'data science', 'art']",low
user_130,"['technology', 'data science', 'business']",medium
user_131,"['business', 'programming', 'art']",medium
user_132,"['marketing', 'photography', 'investing', 'javascript', 'social media']",high
user_133,"['technology', 'finance']",medium
